time,AI,BI,AJ,BJ,OH0,OH1,OH2
4.51006937e-14,4.99926014e-01,5.00001361e-01,4.51019915e-14,4.51061419e-14,-2.33270323e-12,-9.22607569e-03,3.54421431e-11
4.99914388e-01,4.51013423e-14,4.51026443e-14,4.99937717e-01,5.00002392e-01,2.91850532e-01,-1.31625484e-12,-9.66980930e-03
6.38901453e-04,4.99924852e-01,4.99948889e-01,4.51019070e-14,4.51032648e-14,1.54101114e-10,2.92522523e-01,-2.72685468e-13
1.24554709e-03,6.26624460e-04,4.51024322e-14,4.99934138e-01,4.99959427e-01,6.23355830e-04,1.53177875e-10,2.93193529e-01
5.84997752e-08,1.24659600e-03,4.99942544e-01,6.23356134e-04,4.51028857e-14,2.80894094e-13,6.23531028e-04,1.53201813e-10
5.02711114e-01,6.04252173e-08,6.23531332e-04,1.24791951e-03,4.99943536e-01,6.09151089e-08,2.79865905e-13,6.23583449e-04
6.23583602e-04,5.02706909e-01,1.24826051e-03,6.09150017e-08,6.23583754e-04,8.57444831e-10,6.19012889e-08,2.78545711e-13
1.24896699e-03,6.23705035e-04,6.19011828e-08,5.02698542e-01,1.24896684e-03,3.70905318e-03,8.95368312e-10,6.38882967e-08
6.38881923e-08,1.25053591e-03,5.02682091e-01,6.24044160e-04,6.38881923e-08,-6.35999163e-10,4.02666721e-03,9.72790746e-10
5.02650304e-01,6.79413911e-08,6.25082806e-04,1.25427599e-03,5.02650304e-01,-1.08530048e-02,-6.11791507e-10,4.68712778e-03
4.20296919e-15,5.02591046e-01,1.26396550e-03,7.63421233e-08,6.28449805e-04,2.94258434e-01,-1.10093774e-02,-5.85580045e-10
6.33331788e-04,6.67494116e-15,8.50783051e-08,5.02537304e-01,1.27625610e-03,4.92900051e-01,2.94590507e-01,-1.11539220e-02
-1.66268516e-13,6.39472168e-04,5.02488668e-01,8.75503889e-15,9.40454027e-08,5.00000000e-01,4.93212916e-01,2.95248932e-01
1.12128700e-07,-1.39108702e-13,1.12522706e-14,6.54166526e-04,5.02403956e-01,0.00000000e+00,5.00000000e-01,4.93563366e-01
1.02036310e-12,1.28207022e-07,6.68558254e-04,-9.77983146e-14,7.25251779e-15,0.00000000e+00,0.00000000e+00,5.00000000e-01
9.27267186e-03,5.89090838e-13,-8.49538049e-14,1.30307666e-07,6.70426039e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.82520124e-11,9.70206613e-03,1.33628174e-07,-5.94627987e-13,-5.33042667e-14,1.09346319e-09,0.00000000e+00,0.00000000e+00
-9.50000069e-03,1.86466589e-11,-4.40347831e-12,1.02199760e-02,1.33546342e-07,8.90000000e+01,1.09417370e-09,0.00000000e+00
-7.70496852e-12,-6.97356660e-03,1.02050612e-02,-2.08987733e-11,-7.73058152e-12,1.23510077e-03,9.00000000e+01,1.09488421e-09
2.97268304e-01,-9.23266552e-12,-4.60679911e-11,-3.57391550e-03,9.75445993e-03,5.01950381e-01,1.12059901e-03,9.10000000e+01
1.30804051e-10,2.97569830e-01,3.67850709e-04,-8.86390090e-12,-5.29878625e-11,-9.21119200e-06,5.01811501e-01,9.98298425e-04
4.77539076e-04,1.17395956e-10,-7.78318347e-12,2.97873960e-01,4.62799259e-03,5.00000000e-01,-9.17753940e-06,5.01681769e-01
7.36537257e-14,3.80184551e-04,2.98506376e-01,9.36745794e-11,-5.33010291e-12,2.05002651e-08,5.00000000e-01,-9.20600937e-06
1.22971580e-07,1.26471694e-13,7.72794968e-11,3.12019397e-04,2.99166963e-01,-6.93300728e-09,-6.65869971e-08,5.00000000e-01
1.12880469e-09,1.59631728e-07,2.35637486e-04,1.51108977e-13,5.82587503e-11,-2.15509928e-08,-4.41017124e-09,2.75338877e-08
3.80998170e-03,9.26322241e-10,1.28863325e-13,1.91199807e-07,2.04016552e-04,-5.89775159e-09,-1.77584522e-08,-3.27482077e-09
-5.07643389e-11,3.31721930e-03,2.09509764e-07,8.06969530e-10,1.09395812e-13,2.06290061e-01,-4.77353636e-09,-1.82609627e-08
1.29369750e-01,-1.63557479e-11,6.89676449e-10,2.83380325e-03,2.22695880e-07,5.00000147e-01,2.04528979e-01,-3.51514757e-09
3.07877670e-01,1.73179022e-01,2.67560017e-03,-5.03665810e-12,6.51409131e-10,1.61727808e-04,5.00000082e-01,2.02877578e-01
4.99791354e-01,3.11922531e-01,-3.22707988e-14,2.60458826e-01,2.58564278e-03,5.00129554e-01,1.38614328e-04,4.99999669e-01
5.00000000e-01,4.99823317e-01,3.44724778e-01,3.15460470e-01,2.96146799e-13,5.00002973e-01,5.00090577e-01,1.21507501e-04
