net,length_um
xp3_s2l1\[8\].u_xp3/sum_bit\[0\].grid_and,0.329µm
xp4_lo_l1\[0\].u_xp4/_03_,0.329µm
xp4_lo_l1\[2\].u_xp4/_15_,0.329µm
xp5_hi_l2\[1\].u_xp5/_17_,0.329µm
xp5_s2l2\[2\].u_xp5/_14_,0.329µm
A[48],0.327µm
A[51],0.327µm
B[49],0.327µm
xp7_lo_l2\[0\].u_xp7/_018_,0.327µm
_209_,0.326µm
xp3_s2l1\[10\].u_xp3/_02_,0.325µm
A[11],0.323µm
A[17],0.323µm
A[25],0.323µm
A[29],0.323µm
A[3],0.323µm
A[5],0.323µm
A[6],0.323µm
_237_,0.322µm
u_xp13_lo_l3/_009_,0.322µm
xp4_lo_l1\[2\].u_xp4/_16_,0.322µm
u_xp17x7_carry/_000_,0.321µm
u_xp17x7_carry/_015_,0.321µm
_217_,0.32µm
u_xp13_lo_l3/_064_,0.319µm
u_xp13_lo_l3/_124_,0.319µm
xp3_s2l1\[2\].u_xp3/_04_,0.319µm
xp7_lo_l2\[1\].u_xp7/_057_,0.319µm
cell_oh_flat\[13\],0.317µm
u_xp17x7_carry/_072_,0.317µm
xp5_s2l2\[5\].u_xp5/_16_,0.317µm
xp5_s2l2\[7\].u_xp5/_02_,0.317µm
_037_,0.316µm
_074_,0.315µm
_283_,0.315µm
u_xp13_lo_l3/_185_,0.315µm
u_xp13_lo_l3/_199_,0.315µm
u_xp17x7_carry/_051_,0.315µm
xp3_s2l1\[7\].u_xp3/_09_,0.315µm
xp5_hi_l2\[1\].u_xp5/_22_,0.315µm
xp5_s2l2\[3\].u_xp5/_12_,0.315µm
xp4_lo_l1\[1\].u_xp4/_00_,0.314µm
xp3_s2l1\[6\].u_xp3/_00_,0.312µm
u_xp13_lo_l3/_121_,0.311µm
u_xp17x7_carry/_009_,0.311µm
hi_flat\[1\],0.31µm
_084_,0.308µm
ps_flat\[36\],0.308µm
xp3_s2l1\[2\].u_xp3/_06_,0.308µm
xp4_lo_l1\[3\].u_xp4/_02_,0.308µm
xp5_s2l2\[0\].u_xp5/_13_,0.308µm
xp7_lo_l2\[0\].u_xp7/_057_,0.308µm
u_xp13_lo_l3/_162_,0.306µm
u_xp17x7_carry/_099_,0.305µm
u_xp9_hi_l3/_032_,0.305µm
xp5_s2l2\[4\].u_xp5/_06_,0.305µm
_150_,0.304µm
_172_,0.304µm
xp3_s2l1\[0\].u_xp3/_06_,0.303µm
xp4_lo_l1\[1\].u_xp4/_09_,0.303µm
xp7_lo_l2\[0\].u_xp7/_006_,0.303µm
_125_,0.301µm
_199_,0.301µm
r4_split\[5\].boh\[7\],0.301µm
u_xp13_lo_l3/_020_,0.301µm
u_xp17x7_carry/_021_,0.301µm
u_xp9_hi_l3/sum_bit\[0\].grid_and,0.301µm
xp3_s2l1\[11\].u_xp3/_00_,0.301µm
xp5_hi_l2\[0\].u_xp5/_14_,0.301µm
xp5_s2l2\[1\].u_xp5/_09_,0.301µm
xp5_s2l2\[1\].u_xp5/_10_,0.301µm
xp5_s2l2\[5\].u_xp5/_10_,0.301µm
xp7_lo_l2\[1\].u_xp7/sum_bit\[0\].grid_and,0.301µm
A[50],0.299µm
u_xp17x7_carry/_108_,0.298µm
u_xp9_hi_l3/_091_,0.297µm
_178_,0.296µm
A[10],0.295µm
A[24],0.295µm
A[28],0.295µm
A[7],0.295µm
_042_,0.294µm
upper\[8\],0.294µm
u_xp13_lo_l3/_196_,0.294µm
u_xp9_hi_l3/_029_,0.294µm
xp3_s2l1\[7\].u_xp3/_07_,0.294µm
xp5_s2l2\[6\].u_xp5/_23_,0.294µm
xp7_lo_l2\[0\].u_xp7/_028_,0.294µm
xp7_lo_l2\[0\].u_xp7/_044_,0.294µm
u_xp13_lo_l3/_063_,0.293µm
u_xp13_lo_l3/_138_,0.293µm
u_xp13_lo_l3/_161_,0.293µm
u_xp13_lo_l3/_187_,0.291µm
u_xp17x7_carry/_008_,0.291µm
u_xp17x7_carry/_063_,0.291µm
u_xp9_hi_l3/_003_,0.291µm
xp3_s2l1\[14\].u_xp3/_09_,0.291µm
xp3_s2l1\[1\].u_xp3/_07_,0.291µm
xp3_s2l1\[8\].u_xp3/_09_,0.291µm
xp4_lo_l1\[3\].u_xp4/sum_bit\[0\].grid_and,0.291µm
xp5_s2l2\[3\].u_xp5/_23_,0.291µm
xp7_lo_l2\[0\].u_xp7/_041_,0.291µm
_297_,0.289µm
xp3_s2l1\[3\].u_xp3/_02_,0.289µm
xp3_hi_l1\[0\].u_xp3/sum_bit\[0\].grid_and,0.288µm
xp3_hi_l1\[3\].u_xp3/_07_,0.288µm
xp3_s2l1\[2\].u_xp3/sum_bit\[0\].grid_and,0.288µm
xp3_s2l1\[8\].u_xp3/_00_,0.288µm
xp5_s2l2\[2\].u_xp5/_16_,0.288µm
xp7_lo_l2\[0\].u_xp7/_025_,0.288µm
xp7_lo_l2\[1\].u_xp7/_028_,0.288µm
_061_,0.287µm
_155_,0.287µm
_179_,0.287µm
lo_flat\[27\],0.287µm
r4_split\[6\].boh\[0\],0.287µm
u_xp13_lo_l3/_112_,0.287µm
u_xp13_lo_l3/_119_,0.287µm
u_xp17x7_carry/_013_,0.287µm
xp3_hi_l1\[3\].u_xp3/_02_,0.287µm
xp3_s2l1\[15\].u_xp3/_01_,0.287µm
_187_,0.284µm
u_xp17x7_carry/_025_,0.284µm
_035_,0.28µm
u_xp13_lo_l3/_070_,0.28µm
xp3_s2l1\[13\].u_xp3/_02_,0.28µm
xp5_s2l2\[2\].u_xp5/_22_,0.28µm
xp5_s2l2\[3\].u_xp5/_19_,0.28µm
xp7_lo_l2\[0\].u_xp7/_002_,0.28µm
xp5_s2l2\[1\].u_xp5/_22_,0.279µm
xp5_s2l2\[5\].u_xp5/_12_,0.279µm
_214_,0.277µm
u_xp13_lo_l3/_108_,0.277µm
u_xp17x7_carry/_042_,0.277µm
xp3_s2l1\[5\].u_xp3/sum_bit\[0\].grid_and,0.277µm
xp4_lo_l1\[0\].u_xp4/_07_,0.277µm
_192_,0.276µm
r4_split\[3\].boh\[5\],0.276µm
xp5_s2l2\[0\].u_xp5/_11_,0.276µm
xp7_lo_l2\[1\].u_xp7/_039_,0.276µm
_024_,0.275µm
u_xp17x7_carry/_047_,0.275µm
xp3_s2l1\[8\].u_xp3/_07_,0.275µm
xp4_lo_l1\[2\].u_xp4/_17_,0.275µm
xp7_lo_l2\[0\].u_xp7/_046_,0.275µm
xp7_lo_l2\[1\].u_xp7/_044_,0.275µm
_045_,0.273µm
_194_,0.273µm
_287_,0.273µm
u_xp13_lo_l3/_155_,0.273µm
u_xp13_lo_l3/_158_,0.273µm
xp3_hi_l1\[1\].u_xp3/_07_,0.273µm
xp5_hi_l2\[0\].u_xp5/_22_,0.273µm
xp5_s2l2\[0\].u_xp5/_24_,0.273µm
xp5_s2l2\[6\].u_xp5/_09_,0.273µm
xp5_s2l2\[7\].u_xp5/_16_,0.273µm
xp7_lo_l2\[0\].u_xp7/_049_,0.273µm
_056_,0.272µm
_121_,0.272µm
_070_,0.271µm
_075_,0.27µm
_266_,0.27µm
_270_,0.27µm
u_xp13_lo_l3/_049_,0.27µm
u_xp13_lo_l3/_054_,0.27µm
_184_,0.269µm
xp5_hi_l2\[1\].u_xp5/_25_,0.269µm
_222_,0.268µm
u_xp17x7_carry/_144_,0.268µm
u_xp13_lo_l3/_024_,0.266µm
u_xp13_lo_l3/_128_,0.266µm
u_xp17x7_carry/_096_,0.266µm
u_xp9_hi_l3/_077_,0.266µm
xp3_s2l1\[6\].u_xp3/_06_,0.266µm
xp7_lo_l2\[1\].u_xp7/_043_,0.266µm
xp7_lo_l2\[1\].u_xp7/_056_,0.266µm
_036_,0.265µm
xp7_lo_l2\[1\].u_xp7/_047_,0.264µm
_215_,0.263µm
xp5_s2l2\[1\].u_xp5/_06_,0.263µm
xp5_s2l2\[2\].u_xp5/_25_,0.263µm
xp5_s2l2\[7\].u_xp5/_22_,0.263µm
u_xp13_lo_l3/_115_,0.262µm
xp3_s2l1\[14\].u_xp3/_04_,0.262µm
_296_,0.261µm
cell_oh_flat\[64\],0.261µm
u_xp13_lo_l3/_071_,0.261µm
u_xp9_hi_l3/_034_,0.261µm
xp5_s2l2\[2\].u_xp5/_19_,0.261µm
xp5_s2l2\[3\].u_xp5/_20_,0.261µm
xp7_lo_l2\[1\].u_xp7/_049_,0.261µm
u_xp13_lo_l3/_081_,0.26µm
xp5_s2l2\[0\].u_xp5/_05_,0.26µm
_060_,0.259µm
_099_,0.259µm
u_xp13_lo_l3/_025_,0.259µm
u_xp13_lo_l3/_053_,0.259µm
u_xp17x7_carry/_111_,0.259µm
u_xp17x7_carry/_115_,0.259µm
xp7_lo_l2\[0\].u_xp7/_007_,0.259µm
xp7_lo_l2\[1\].u_xp7/_055_,0.259µm
_107_,0.258µm
_171_,0.255µm
_243_,0.255µm
u_xp13_lo_l3/_133_,0.255µm
xp7_lo_l2\[1\].u_xp7/_033_,0.255µm
_127_,0.253µm
_248_,0.252µm
upper\[17\],0.252µm
u_xp13_lo_l3/_000_,0.252µm
u_xp13_lo_l3/_056_,0.252µm
u_xp13_lo_l3/_142_,0.252µm
u_xp17x7_carry/_133_,0.252µm
xp5_s2l2\[7\].u_xp5/sum_bit\[0\].grid_and,0.252µm
xp5_hi_l2\[1\].u_xp5/_09_,0.251µm
xp5_s2l2\[3\].u_xp5/_21_,0.251µm
xp7_lo_l2\[0\].u_xp7/_033_,0.251µm
_239_,0.249µm
u_xp13_lo_l3/_069_,0.249µm
xp5_s2l2\[4\].u_xp5/_25_,0.249µm
xp7_lo_l2\[1\].u_xp7/_054_,0.249µm
xp3_s2l1\[5\].u_xp3/_02_,0.248µm
xp5_s2l2\[2\].u_xp5/_11_,0.248µm
_053_,0.247µm
_226_,0.247µm
_275_,0.247µm
_288_,0.247µm
cell_oh_flat\[16\],0.247µm
u_xp13_lo_l3/_008_,0.247µm
u_xp13_lo_l3/_101_,0.247µm
u_xp9_hi_l3/_072_,0.247µm
_018_,0.246µm
u_xp13_lo_l3/_086_,0.246µm
_204_,0.245µm
_254_,0.245µm
u_xp13_lo_l3/_002_,0.245µm
u_xp13_lo_l3/_160_,0.245µm
u_xp17x7_carry/_039_,0.245µm
xp5_s2l2\[7\].u_xp5/_13_,0.245µm
xp4_lo_l1\[1\].u_xp4/_17_,0.243µm
_027_,0.242µm
_219_,0.242µm
_249_,0.241µm
_280_,0.24µm
_005_,0.238µm
_055_,0.238µm
_236_,0.238µm
u_xp13_lo_l3/_031_,0.238µm
u_xp13_lo_l3/_095_,0.238µm
u_xp17x7_carry/_002_,0.238µm
u_xp9_hi_l3/_027_,0.238µm
u_xp9_hi_l3/_056_,0.238µm
u_xp9_hi_l3/_058_,0.238µm
xp3_s2l1\[7\].u_xp3/sum_bit\[0\].grid_and,0.238µm
xp4_lo_l1\[2\].u_xp4/_06_,0.238µm
xp4_lo_l1\[3\].u_xp4/_06_,0.238µm
xp5_hi_l2\[0\].u_xp5/_09_,0.238µm
xp5_s2l2\[2\].u_xp5/_10_,0.238µm
xp7_lo_l2\[1\].u_xp7/_020_,0.238µm
xp7_lo_l2\[1\].u_xp7/_052_,0.238µm
u_xp9_hi_l3/_076_,0.237µm
xp5_hi_l2\[0\].u_xp5/sum_bit\[0\].grid_and,0.237µm
xp5_s2l2\[2\].u_xp5/_05_,0.237µm
cell_oh_flat\[76\],0.235µm
upper\[5\],0.235µm
_009_,0.233µm
_264_,0.233µm
u_xp13_lo_l3/_083_,0.233µm
xp4_lo_l1\[2\].u_xp4/sum_bit\[0\].grid_and,0.233µm
xp5_s2l2\[0\].u_xp5/_17_,0.233µm
_225_,0.232µm
_081_,0.231µm
_093_,0.231µm
_131_,0.231µm
_161_,0.231µm
_201_,0.231µm
low_sum\[8\],0.231µm
u_xp13_lo_l3/_057_,0.231µm
u_xp13_lo_l3/_104_,0.231µm
u_xp13_lo_l3/_164_,0.231µm
u_xp13_lo_l3/_210_,0.231µm
u_xp17x7_carry/_142_,0.231µm
u_xp17x7_carry/_146_,0.231µm
u_xp9_hi_l3/_037_,0.231µm
u_xp17x7_carry/_040_,0.23µm
u_xp17x7_carry/_135_,0.23µm
xp4_lo_l1\[1\].u_xp4/_02_,0.23µm
_068_,0.226µm
u_xp17x7_carry/_036_,0.224µm
u_xp17x7_carry/_131_,0.224µm
xp3_s2l1\[10\].u_xp3/sum_bit\[0\].grid_and,0.224µm
xp3_s2l1\[1\].u_xp3/_09_,0.224µm
xp5_s2l2\[6\].u_xp5/_06_,0.224µm
u_xp17x7_carry/_048_,0.223µm
u_xp17x7_carry/_037_,0.221µm
u_xp9_hi_l3/_030_,0.221µm
u_xp9_hi_l3/_066_,0.221µm
xp3_s2l1\[3\].u_xp3/_03_,0.221µm
xp4_lo_l1\[0\].u_xp4/_17_,0.221µm
xp4_lo_l1\[3\].u_xp4/_09_,0.221µm
xp5_s2l2\[5\].u_xp5/_22_,0.221µm
u_xp13_lo_l3/_140_,0.219µm
u_xp13_lo_l3/_174_,0.219µm
_001_,0.217µm
_109_,0.217µm
_206_,0.217µm
u_xp13_lo_l3/_027_,0.217µm
u_xp13_lo_l3/_117_,0.217µm
u_xp17x7_carry/_067_,0.217µm
u_xp9_hi_l3/_025_,0.217µm
u_xp9_hi_l3/_044_,0.217µm
xp5_s2l2\[4\].u_xp5/_23_,0.217µm
xp5_s2l2\[6\].u_xp5/_20_,0.217µm
xp5_s2l2\[7\].u_xp5/_05_,0.217µm
xp7_lo_l2\[0\].u_xp7/_022_,0.217µm
xp7_lo_l2\[1\].u_xp7/_040_,0.217µm
_177_,0.214µm
u_xp9_hi_l3/_021_,0.213µm
_278_,0.212µm
u_xp17x7_carry/_082_,0.211µm
u_xp13_lo_l3/_040_,0.21µm
u_xp13_lo_l3/_110_,0.21µm
u_xp13_lo_l3/_212_,0.21µm
u_xp17x7_carry/_074_,0.21µm
u_xp9_hi_l3/_014_,0.21µm
u_xp9_hi_l3/_059_,0.21µm
xp3_hi_l1\[1\].u_xp3/_02_,0.21µm
xp3_s2l1\[2\].u_xp3/_02_,0.21µm
xp3_s2l1\[2\].u_xp3/_09_,0.21µm
xp4_lo_l1\[0\].u_xp4/_06_,0.21µm
xp5_hi_l2\[0\].u_xp5/_10_,0.21µm
xp7_lo_l2\[0\].u_xp7/_013_,0.21µm
xp7_lo_l2\[0\].u_xp7/_024_,0.21µm
_066_,0.209µm
u_xp9_hi_l3/_009_,0.209µm
u_xp9_hi_l3/_071_,0.209µm
xp3_s2l1\[12\].u_xp3/_07_,0.209µm
u_xp13_lo_l3/_003_,0.207µm
u_xp13_lo_l3/_190_,0.207µm
u_xp13_lo_l3/_195_,0.207µm
u_xp17x7_carry/_070_,0.207µm
u_xp17x7_carry/_092_,0.207µm
u_xp9_hi_l3/_078_,0.207µm
xp5_s2l2\[2\].u_xp5/_09_,0.207µm
xp5_s2l2\[3\].u_xp5/_10_,0.207µm
xp7_lo_l2\[0\].u_xp7/_020_,0.207µm
u_xp17x7_carry/_053_,0.206µm
u_xp9_hi_l3/_052_,0.206µm
u_xp13_lo_l3/_055_,0.205µm
u_xp13_lo_l3/_103_,0.205µm
u_xp17x7_carry/_119_,0.205µm
u_xp9_hi_l3/_031_,0.205µm
low_sum\[20\],0.204µm
_065_,0.203µm
_247_,0.203µm
u_xp13_lo_l3/_122_,0.203µm
u_xp17x7_carry/_052_,0.203µm
xp3_s2l1\[0\].u_xp3/_07_,0.203µm
xp3_s2l1\[4\].u_xp3/_02_,0.203µm
xp3_s2l1\[9\].u_xp3/_07_,0.203µm
xp4_lo_l1\[0\].u_xp4/_14_,0.203µm
xp5_s2l2\[1\].u_xp5/_05_,0.203µm
xp5_s2l2\[2\].u_xp5/_06_,0.203µm
xp5_s2l2\[3\].u_xp5/_09_,0.203µm
xp7_lo_l2\[0\].u_xp7/_014_,0.203µm
xp7_lo_l2\[0\].u_xp7/_047_,0.203µm
_277_,0.202µm
_281_,0.202µm
xp3_s2l1\[9\].u_xp3/_00_,0.202µm
xp7_lo_l2\[1\].u_xp7/_022_,0.2µm
u_xp13_lo_l3/_037_,0.199µm
u_xp13_lo_l3/_092_,0.199µm
xp4_lo_l1\[3\].u_xp4/_12_,0.199µm
xp5_s2l2\[6\].u_xp5/_05_,0.199µm
xp7_lo_l2\[1\].u_xp7/_031_,0.199µm
_023_,0.198µm
_072_,0.198µm
_244_,0.198µm
xp5_s2l2\[0\].u_xp5/_25_,0.198µm
_000_,0.196µm
_227_,0.196µm
u_xp13_lo_l3/_028_,0.196µm
u_xp13_lo_l3/_067_,0.196µm
u_xp13_lo_l3/_167_,0.196µm
u_xp9_hi_l3/_093_,0.196µm
xp3_s2l1\[14\].u_xp3/_02_,0.196µm
xp3_s2l1\[14\].u_xp3/sum_bit\[0\].grid_and,0.196µm
xp3_s2l1\[5\].u_xp3/_07_,0.196µm
xp3_s2l1\[7\].u_xp3/_02_,0.196µm
xp3_s2l1\[7\].u_xp3/_06_,0.196µm
xp5_s2l2\[2\].u_xp5/_17_,0.196µm
xp7_lo_l2\[1\].u_xp7/_007_,0.196µm
xp7_lo_l2\[1\].u_xp7/_041_,0.196µm
xp5_hi_l2\[0\].u_xp5/_02_,0.195µm
_279_,0.194µm
xp4_lo_l1\[3\].u_xp4/_15_,0.194µm
u_xp9_hi_l3/_092_,0.193µm
u_xp13_lo_l3/_098_,0.192µm
u_xp13_lo_l3/_168_,0.192µm
u_xp17x7_carry/_125_,0.192µm
u_xp9_hi_l3/_012_,0.192µm
xp3_hi_l1\[2\].u_xp3/_06_,0.192µm
xp5_s2l2\[6\].u_xp5/_16_,0.192µm
xp7_lo_l2\[1\].u_xp7/_014_,0.192µm
u_xp13_lo_l3/_091_,0.191µm
u_xp17x7_carry/_020_,0.191µm
u_xp17x7_carry/_128_,0.191µm
u_xp9_hi_l3/_067_,0.191µm
xp5_s2l2\[7\].u_xp5/_10_,0.191µm
xp7_lo_l2\[0\].u_xp7/_052_,0.191µm
u_xp17x7_carry/_062_,0.19µm
u_xp9_hi_l3/_016_,0.19µm
_049_,0.189µm
_238_,0.189µm
u_xp13_lo_l3/_093_,0.189µm
u_xp13_lo_l3/_149_,0.189µm
u_xp13_lo_l3/_169_,0.189µm
u_xp13_lo_l3/_192_,0.189µm
u_xp17x7_carry/_012_,0.189µm
u_xp17x7_carry/_094_,0.189µm
u_xp17x7_carry/_120_,0.189µm
u_xp9_hi_l3/_033_,0.189µm
u_xp9_hi_l3/_049_,0.189µm
u_xp9_hi_l3/_063_,0.189µm
xp4_lo_l1\[0\].u_xp4/_13_,0.189µm
xp4_lo_l1\[2\].u_xp4/_07_,0.189µm
xp5_hi_l2\[0\].u_xp5/_20_,0.189µm
xp5_s2l2\[2\].u_xp5/sum_bit\[0\].grid_and,0.189µm
xp5_s2l2\[3\].u_xp5/_17_,0.189µm
xp5_s2l2\[3\].u_xp5/_25_,0.189µm
xp5_s2l2\[4\].u_xp5/_20_,0.189µm
xp5_s2l2\[5\].u_xp5/_19_,0.189µm
xp7_lo_l2\[0\].u_xp7/_010_,0.189µm
xp7_lo_l2\[1\].u_xp7/_026_,0.189µm
_103_,0.187µm
_229_,0.187µm
_020_,0.186µm
_245_,0.186µm
xp3_s2l1\[11\].u_xp3/_06_,0.186µm
_259_,0.185µm
_033_,0.184µm
_087_,0.184µm
_234_,0.184µm
low_sum\[16\],0.182µm
upper\[1\],0.182µm
u_xp13_lo_l3/_023_,0.182µm
u_xp13_lo_l3/_079_,0.182µm
u_xp13_lo_l3/_082_,0.182µm
u_xp13_lo_l3/_152_,0.182µm
u_xp13_lo_l3/_166_,0.182µm
u_xp13_lo_l3/_182_,0.182µm
u_xp13_lo_l3/_206_,0.182µm
u_xp17x7_carry/_065_,0.182µm
xp5_hi_l2\[0\].u_xp5/_05_,0.182µm
xp5_s2l2\[1\].u_xp5/_19_,0.182µm
xp5_s2l2\[3\].u_xp5/sum_bit\[0\].grid_and,0.182µm
xp7_lo_l2\[0\].u_xp7/_017_,0.182µm
u_xp13_lo_l3/_022_,0.181µm
u_xp9_hi_l3/_087_,0.181µm
xp3_hi_l1\[0\].u_xp3/_09_,0.181µm
xp7_lo_l2\[0\].u_xp7/_031_,0.181µm
u_xp13_lo_l3/_029_,0.179µm
u_xp13_lo_l3/_204_,0.179µm
u_xp17x7_carry/_057_,0.179µm
u_xp17x7_carry/_079_,0.179µm
u_xp9_hi_l3/_047_,0.179µm
u_xp9_hi_l3/_062_,0.179µm
u_xp9_hi_l3/_094_,0.179µm
xp3_s2l1\[14\].u_xp3/_07_,0.179µm
xp7_lo_l2\[0\].u_xp7/_029_,0.179µm
xp7_lo_l2\[0\].u_xp7/_011_,0.178µm
u_xp13_lo_l3/_189_,0.177µm
u_xp17x7_carry/_033_,0.177µm
u_xp9_hi_l3/_089_,0.177µm
xp5_s2l2\[3\].u_xp5/_05_,0.177µm
xp5_s2l2\[4\].u_xp5/_05_,0.177µm
xp7_lo_l2\[0\].u_xp7/_023_,0.177µm
xp7_lo_l2\[0\].u_xp7/_026_,0.177µm
_295_,0.175µm
u_xp17x7_carry/_006_,0.175µm
u_xp17x7_carry/_088_,0.175µm
u_xp9_hi_l3/_015_,0.175µm
xp3_s2l1\[1\].u_xp3/_02_,0.175µm
xp5_hi_l2\[1\].u_xp5/_12_,0.175µm
xp5_hi_l2\[1\].u_xp5/_16_,0.175µm
xp5_s2l2\[0\].u_xp5/_12_,0.175µm
xp5_s2l2\[0\].u_xp5/_20_,0.175µm
xp5_s2l2\[4\].u_xp5/_13_,0.175µm
u_xp9_hi_l3/_045_,0.173µm
_129_,0.17µm
_043_,0.168µm
_240_,0.168µm
u_xp13_lo_l3/_048_,0.168µm
u_xp13_lo_l3/_073_,0.168µm
u_xp13_lo_l3/_146_,0.168µm
u_xp17x7_carry/_061_,0.168µm
xp3_s2l1\[10\].u_xp3/_06_,0.168µm
xp3_s2l1\[13\].u_xp3/_07_,0.168µm
xp3_s2l1\[13\].u_xp3/sum_bit\[0\].grid_and,0.168µm
xp5_hi_l2\[0\].u_xp5/_12_,0.168µm
xp5_hi_l2\[0\].u_xp5/_23_,0.168µm
xp5_s2l2\[0\].u_xp5/_23_,0.168µm
xp5_s2l2\[1\].u_xp5/_25_,0.168µm
xp5_s2l2\[3\].u_xp5/_16_,0.168µm
xp7_lo_l2\[1\].u_xp7/_025_,0.168µm
_006_,0.167µm
upper\[4\],0.167µm
u_xp13_lo_l3/_202_,0.167µm
u_xp9_hi_l3/_035_,0.167µm
xp3_s2l1\[4\].u_xp3/sum_bit\[0\].grid_and,0.167µm
u_xp9_hi_l3/_026_,0.165µm
u_xp13_lo_l3/_200_,0.164µm
u_xp13_lo_l3/_213_,0.164µm
xp5_hi_l2\[1\].u_xp5/_20_,0.164µm
xp5_s2l2\[2\].u_xp5/_23_,0.164µm
xp7_lo_l2\[1\].u_xp7/_011_,0.164µm
u_xp13_lo_l3/_134_,0.163µm
u_xp9_hi_l3/_084_,0.163µm
xp5_s2l2\[7\].u_xp5/_20_,0.162µm
_111_,0.161µm
_223_,0.161µm
u_xp17x7_carry/_069_,0.161µm
u_xp17x7_carry/_078_,0.161µm
u_xp17x7_carry/_080_,0.161µm
u_xp17x7_carry/_091_,0.161µm
u_xp9_hi_l3/_068_,0.161µm
xp3_s2l1\[3\].u_xp3/_07_,0.161µm
xp7_lo_l2\[0\].u_xp7/_040_,0.161µm
xp7_lo_l2\[0\].u_xp7/_043_,0.161µm
_079_,0.16µm
_208_,0.16µm
_246_,0.16µm
_052_,0.159µm
_057_,0.158µm
_207_,0.158µm
_022_,0.156µm
_062_,0.156µm
_063_,0.156µm
xp4_lo_l1\[2\].u_xp4/_10_,0.156µm
low_sum\[4\],0.154µm
xp3_s2l1\[9\].u_xp3/_02_,0.154µm
xp5_s2l2\[3\].u_xp5/_02_,0.154µm
xp5_s2l2\[5\].u_xp5/_17_,0.154µm
_262_,0.153µm
u_xp17x7_carry/_071_,0.151µm
xp5_s2l2\[1\].u_xp5/_23_,0.151µm
xp7_lo_l2\[0\].u_xp7/_050_,0.151µm
u_xp9_hi_l3/_020_,0.15µm
xp5_s2l2\[4\].u_xp5/_17_,0.15µm
_260_,0.149µm
_298_,0.149µm
u_xp13_lo_l3/_150_,0.149µm
u_xp17x7_carry/_003_,0.149µm
u_xp9_hi_l3/_088_,0.148µm
xp4_lo_l1\[1\].u_xp4/_15_,0.148µm
xp5_s2l2\[5\].u_xp5/_13_,0.148µm
_032_,0.147µm
_153_,0.147µm
_163_,0.147µm
u_xp13_lo_l3/_058_,0.147µm
u_xp13_lo_l3/_114_,0.147µm
xp4_lo_l1\[1\].u_xp4/_14_,0.147µm
_185_,0.144µm
_073_,0.143µm
u_xp13_lo_l3/_017_,0.14µm
u_xp13_lo_l3/_036_,0.14µm
u_xp13_lo_l3/_084_,0.14µm
u_xp17x7_carry/_109_,0.14µm
u_xp9_hi_l3/_040_,0.14µm
_286_,0.139µm
xp7_lo_l2\[1\].u_xp7/_046_,0.139µm
u_xp13_lo_l3/_014_,0.137µm
u_xp9_hi_l3/_028_,0.137µm
u_xp9_hi_l3/_073_,0.137µm
_047_,0.136µm
u_xp13_lo_l3/_144_,0.136µm
_213_,0.135µm
u_xp17x7_carry/_030_,0.135µm
u_xp17x7_carry/_035_,0.135µm
u_xp9_hi_l3/_069_,0.135µm
xp4_lo_l1\[2\].u_xp4/_13_,0.135µm
_002_,0.133µm
_293_,0.133µm
u_xp13_lo_l3/_097_,0.133µm
xp3_hi_l1\[3\].u_xp3/_06_,0.133µm
xp5_hi_l2\[0\].u_xp5/_24_,0.133µm
xp7_lo_l2\[0\].u_xp7/sum_bit\[0\].grid_and,0.133µm
_241_,0.13µm
_228_,0.129µm
u_xp13_lo_l3/_193_,0.126µm
u_xp13_lo_l3/_209_,0.126µm
u_xp17x7_carry/_016_,0.126µm
u_xp17x7_carry/_124_,0.126µm
u_xp17x7_carry/_137_,0.126µm
xp5_hi_l2\[1\].u_xp5/_02_,0.126µm
xp5_hi_l2\[1\].u_xp5/_19_,0.126µm
xp5_s2l2\[5\].u_xp5/_20_,0.126µm
xp7_lo_l2\[0\].u_xp7/_039_,0.126µm
u_xp17x7_carry/sum_bit\[0\].grid_and,0.125µm
xp5_s2l2\[4\].u_xp5/_19_,0.125µm
u_xp13_lo_l3/_035_,0.123µm
u_xp13_lo_l3/_135_,0.123µm
u_xp9_hi_l3/_022_,0.123µm
xp3_s2l1\[5\].u_xp3/_06_,0.123µm
xp5_hi_l2\[1\].u_xp5/_23_,0.123µm
u_xp13_lo_l3/_077_,0.121µm
_299_,0.12µm
xp7_lo_l2\[1\].u_xp7/_029_,0.12µm
_016_,0.119µm
_265_,0.119µm
u_xp13_lo_l3/_085_,0.119µm
u_xp13_lo_l3/_159_,0.119µm
u_xp17x7_carry/_116_,0.119µm
xp4_lo_l1\[2\].u_xp4/_12_,0.119µm
_289_,0.118µm
_008_,0.116µm
_083_,0.116µm
u_xp13_lo_l3/_151_,0.116µm
u_xp17x7_carry/_132_,0.116µm
xp5_s2l2\[4\].u_xp5/_12_,0.113µm
xp5_s2l2\[6\].u_xp5/_10_,0.113µm
xp5_s2l2\[7\].u_xp5/_23_,0.113µm
_216_,0.112µm
u_xp13_lo_l3/_102_,0.112µm
u_xp17x7_carry/_141_,0.112µm
xp3_s2l1\[9\].u_xp3/_06_,0.112µm
xp7_lo_l2\[0\].u_xp7/_021_,0.112µm
xp3_s2l1\[0\].u_xp3/sum_bit\[0\].grid_and,0.111µm
xp4_lo_l1\[1\].u_xp4/sum_bit\[0\].grid_and,0.111µm
u_xp13_lo_l3/_123_,0.109µm
u_xp13_lo_l3/_041_,0.108µm
