net,length_um
ps_flat\[45\],1.432µm
_019_,1.427µm
xp5_s2l2\[7\].u_xp5/_04_,1.427µm
ps_flat\[4\],1.421µm
r4_split\[0\].boh\[4\],1.408µm
cell_oh_flat\[44\],1.407µm
ps_flat\[25\],1.399µm
ps_flat\[74\],1.399µm
ps_flat\[33\],1.393µm
xp5_hi_l2\[0\].u_xp5/_00_,1.393µm
r4_split\[2\].boh\[7\],1.39µm
ps_flat\[27\],1.383µm
xp7_lo_l2\[0\].u_xp7/_030_,1.379µm
xp5_s2l2\[2\].u_xp5/_03_,1.377µm
lo_flat\[6\],1.372µm
lo_flat\[16\],1.356µm
u_xp17x7_carry/_014_,1.355µm
hi_flat\[14\],1.349µm
u_xp9_hi_l3/_080_,1.344µm
ps_flat\[56\],1.337µm
r4_split\[4\].boh\[6\],1.337µm
xp5_s2l2\[1\].u_xp5/_18_,1.337µm
xp7_lo_l2\[0\].u_xp7/_051_,1.334µm
hi_flat\[2\],1.33µm
u_xp13_lo_l3/_207_,1.327µm
xp5_s2l2\[2\].u_xp5/_00_,1.323µm
cell_oh_flat\[2\],1.32µm
ps_flat\[24\],1.32µm
ps_flat\[67\],1.32µm
xp5_hi_l2\[1\].u_xp5/_18_,1.313µm
xp5_hi_l2\[0\].u_xp5/_18_,1.311µm
xp7_lo_l2\[0\].u_xp7/_001_,1.309µm
A[32],1.308µm
xp5_s2l2\[7\].u_xp5/_15_,1.307µm
xp5_s2l2\[3\].u_xp5/_04_,1.302µm
cell_oh_flat\[15\],1.288µm
lo_flat\[7\],1.288µm
r4_split\[2\].boh\[6\],1.288µm
r4_split\[0\].boh\[6\],1.287µm
u_xp9_hi_l3/_086_,1.281µm
xp5_s2l2\[1\].u_xp5/_15_,1.281µm
xp5_s2l2\[3\].u_xp5/_00_,1.281µm
xp3_hi_l1\[2\].u_xp3/_05_,1.279µm
xp5_s2l2\[6\].u_xp5/_08_,1.278µm
low_sum\[17\],1.277µm
cell_oh_flat\[6\],1.274µm
B[32],1.27µm
high_sum\[3\],1.27µm
r4_split\[7\].boh\[6\],1.268µm
low_sum\[23\],1.267µm
upper\[21\],1.267µm
cell_oh_flat\[87\],1.264µm
xp5_hi_l2\[1\].u_xp5/_00_,1.263µm
cell_oh_flat\[62\],1.26µm
ps_flat\[63\],1.26µm
cell_oh_flat\[32\],1.257µm
ps_flat\[77\],1.257µm
r4_split\[6\].boh\[3\],1.257µm
cell_oh_flat\[66\],1.255µm
hd[5],1.254µm
r4_split\[4\].boh\[3\],1.253µm
xp4_lo_l1\[0\].u_xp4/_11_,1.253µm
xp5_s2l2\[1\].u_xp5/_00_,1.252µm
xp7_lo_l2\[0\].u_xp7/_032_,1.246µm
cell_oh_flat\[27\],1.244µm
cell_oh_flat\[69\],1.242µm
lo_flat\[14\],1.24µm
ps_flat\[34\],1.24µm
xp4_lo_l1\[2\].u_xp4/_05_,1.238µm
hi_flat\[12\],1.232µm
low_sum\[13\],1.231µm
ps_flat\[54\],1.231µm
ps_flat\[14\],1.229µm
ps_flat\[57\],1.228µm
cell_oh_flat\[59\],1.227µm
u_xp17x7_carry/_095_,1.226µm
r4_split\[4\].boh\[1\],1.224µm
cell_oh_flat\[78\],1.218µm
xp4_lo_l1\[2\].u_xp4/_04_,1.212µm
xp4_lo_l1\[3\].u_xp4/_04_,1.211µm
ps_flat\[71\],1.208µm
cell_oh_flat\[68\],1.204µm
A[54],1.202µm
ps_flat\[7\],1.201µm
u_xp17x7_carry/_147_,1.199µm
xp5_hi_l2\[1\].u_xp5/_07_,1.197µm
xp7_lo_l2\[1\].u_xp7/_000_,1.197µm
cell_oh_flat\[53\],1.19µm
u_xp17x7_carry/_136_,1.19µm
xp5_s2l2\[4\].u_xp5/_18_,1.189µm
cell_oh_flat\[81\],1.187µm
u_xp17x7_carry/_107_,1.184µm
high_sum\[5\],1.181µm
ps_flat\[21\],1.179µm
u_xp13_lo_l3/_004_,1.172µm
u_xp13_lo_l3/_072_,1.171µm
cell_oh_flat\[48\],1.17µm
xp5_s2l2\[7\].u_xp5/_08_,1.169µm
r4_split\[4\].boh\[4\],1.167µm
xp5_hi_l2\[1\].u_xp5/_14_,1.159µm
hi_flat\[4\],1.155µm
A[34],1.154µm
xp4_lo_l1\[1\].u_xp4/_11_,1.151µm
low_sum\[10\],1.15µm
cell_oh_flat\[80\],1.148µm
r4_split\[0\].boh\[7\],1.148µm
r4_split\[4\].boh\[5\],1.148µm
r4_split\[5\].boh\[4\],1.148µm
cell_oh_flat\[86\],1.144µm
u_xp17x7_carry/_001_,1.143µm
xp7_lo_l2\[1\].u_xp7/_034_,1.143µm
cell_oh_flat\[90\],1.142µm
high_sum\[4\],1.141µm
xp5_s2l2\[7\].u_xp5/_18_,1.141µm
hl1_flat\[0\],1.14µm
r4_split\[6\].boh\[2\],1.131µm
ps_flat\[66\],1.122µm
ps_flat\[44\],1.12µm
r4_split\[3\].boh\[7\],1.12µm
u_xp9_hi_l3/_060_,1.12µm
lo_flat\[21\],1.119µm
u_xp17x7_carry/_077_,1.117µm
xp5_s2l2\[1\].u_xp5/_03_,1.115µm
hd[4],1.113µm
hl1_flat\[4\],1.113µm
u_xp13_lo_l3/_153_,1.113µm
xp5_s2l2\[0\].u_xp5/_00_,1.113µm
xp7_lo_l2\[1\].u_xp7/_051_,1.11µm
ps_flat\[6\],1.108µm
cell_oh_flat\[12\],1.106µm
hi_flat\[8\],1.1µm
cell_oh_flat\[31\],1.096µm
cell_oh_flat\[72\],1.093µm
xp7_lo_l2\[1\].u_xp7/_015_,1.093µm
low_sum\[9\],1.092µm
r4_split\[3\].boh\[3\],1.092µm
xp5_hi_l2\[0\].u_xp5/_08_,1.092µm
cell_oh_flat\[92\],1.091µm
xp3_s2l1\[10\].u_xp3/_04_,1.091µm
hd[2],1.09µm
cell_oh_flat\[65\],1.089µm
upper\[18\],1.087µm
xp4_lo_l1\[3\].u_xp4/_01_,1.085µm
B[40],1.082µm
xp3_hi_l1\[2\].u_xp3/_04_,1.081µm
hd[6],1.079µm
cell_oh_flat\[0\],1.071µm
cell_oh_flat\[60\],1.071µm
ps_flat\[61\],1.071µm
xp4_lo_l1\[3\].u_xp4/_05_,1.071µm
xp5_s2l2\[4\].u_xp5/_07_,1.071µm
ll1_flat\[24\],1.064µm
ps_flat\[75\],1.064µm
A[0],1.062µm
A[46],1.062µm
u_xp17x7_carry/_005_,1.057µm
xp3_s2l1\[8\].u_xp3/_03_,1.057µm
cell_oh_flat\[74\],1.05µm
high_sum\[0\],1.05µm
xp3_s2l1\[12\].u_xp3/_05_,1.05µm
xp5_hi_l2\[1\].u_xp5/_08_,1.045µm
r4_split\[4\].boh\[7\],1.044µm
xp5_s2l2\[3\].u_xp5/_03_,1.043µm
xp7_lo_l2\[1\].u_xp7/_004_,1.043µm
cell_oh_flat\[56\],1.04µm
B[34],1.036µm
ps_flat\[49\],1.036µm
u_xp13_lo_l3/_127_,1.036µm
cell_oh_flat\[23\],1.031µm
B[46],1.03µm
r4_split\[0\].boh\[3\],1.028µm
xp5_s2l2\[6\].u_xp5/_18_,1.024µm
cell_oh_flat\[7\],1.021µm
ll1_flat\[5\],1.019µm
u_xp13_lo_l3/_100_,1.019µm
B[54],1.018µm
ll1_flat\[19\],1.015µm
lo_flat\[2\],1.015µm
xp5_s2l2\[0\].u_xp5/_08_,1.015µm
xp5_s2l2\[3\].u_xp5/_08_,1.015µm
A[53],1.014µm
A[57],1.008µm
u_xp13_lo_l3/_046_,1.008µm
cell_oh_flat\[34\],1.005µm
u_xp13_lo_l3/_163_,1.004µm
hi_flat\[0\],1.003µm
r4_split\[3\].boh\[2\],1.003µm
cell_oh_flat\[20\],1.001µm
r4_split\[4\].boh\[2\],1.001µm
xp3_s2l1\[4\].u_xp3/_05_,1.001µm
cell_oh_flat\[11\],0.994µm
B[44],0.99µm
B[53],0.99µm
lo_flat\[24\],0.99µm
ps_flat\[73\],0.989µm
r4_split\[3\].boh\[6\],0.988µm
u_xp13_lo_l3/_126_,0.987µm
xp3_s2l1\[4\].u_xp3/_03_,0.987µm
xp4_lo_l1\[0\].u_xp4/_05_,0.987µm
_233_,0.986µm
cell_oh_flat\[42\],0.984µm
A[40],0.982µm
xp7_lo_l2\[0\].u_xp7/_027_,0.98µm
xp5_s2l2\[1\].u_xp5/_11_,0.977µm
r4_split\[6\].boh\[6\],0.976µm
low_sum\[6\],0.973µm
u_xp9_hi_l3/_010_,0.973µm
xp5_s2l2\[2\].u_xp5/_07_,0.973µm
xp5_s2l2\[0\].u_xp5/_04_,0.971µm
A[44],0.966µm
cell_oh_flat\[35\],0.966µm
xp7_lo_l2\[0\].u_xp7/_045_,0.966µm
_140_,0.962µm
hi_flat\[18\],0.959µm
_003_,0.956µm
_102_,0.953µm
cell_oh_flat\[54\],0.952µm
r4_split\[2\].boh\[2\],0.952µm
A[39],0.95µm
cell_oh_flat\[63\],0.949µm
r4_split\[5\].boh\[1\],0.947µm
A[61],0.946µm
xp3_s2l1\[3\].u_xp3/_05_,0.946µm
_026_,0.945µm
u_xp17x7_carry/_010_,0.945µm
xp5_s2l2\[7\].u_xp5/_03_,0.945µm
xp5_hi_l2\[0\].u_xp5/_07_,0.944µm
